aau_name;url;UDD5;displaydocclass;instpostdistrikt;studietidtx;afbrud;afbrud_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;fagligmiljo_likert;fagligtmotivation_likert;kvalitet_likert;medstuderende_likert;socialtmiljo_likert;socialtmotivation_likert;udbytte_undervisning_likert;undervisere_engagerede_likert;undervisere_faglighed_likert;undervisere_feedback_likert;undervisere_formidling_likert;undervisere_kontakt_likert
Maskinteknik, diplomingeniør, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/maskin-og-produktion;79310,30270,32170;Bacheloruddannelse;Esbjerg;2 år og 4 måneder;20;206;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Maskinteknik, diplomingeniør, Esbjerg;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-maskinteknik;53330,52770,52760,53320;Professionsbacheloruddannelse;Aalborg;-101;9;79;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Matematik;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-maskinteknik;53330,52770,52760,53320;Professionsbacheloruddannelse;Esbjerg;-101;9;79;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Matematik-teknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik;81380,8116;Bacheloruddannelse;Aalborg;2 år og 11 måneder;23;105;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Øvelsestimer;4,04;3,76;4,5;4,16;3,92;4,24;3,88;4,2;4,64;3,54;3,72;4,2
Matematik-økonomi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/matematik-teknologi;79000;Bacheloruddannelse;Aalborg;-101;25;40;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;4,47;4,33;4,27;3,93;4,27;4,47;4;4,07;4,33;4;3,8;4,4
Medialogy, København SV;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik-oekonomi;81330;Bacheloruddannelse;Aalborg;3 år og 0 måneder;27;66;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Medialogy, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medialogy;60500;Bacheloruddannelse;Aalborg;3 år og 0 måneder;25;1054;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Faglig vejledning fra din underviser;4,1;3,63;3,77;3,29;3,59;3,84;3,74;3,97;4,31;3,55;3,57;3,89
Medicin (lægeuddannelsen);www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medialogy;60500;Bacheloruddannelse;København SV;3 år og 0 måneder;25;1054;Projektarbejde;Gruppearbejde;Selvstudie;Forelæsninger;Klasseundervisning;3,6;3,41;3,22;3,06;3,04;3,3;3,31;3,48;3,94;2,94;2,74;3,25
Medicin med industriel specialisering;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/medicin;71720;Bacheloruddannelse;Aalborg;2 år og 7 måneder;6;188;Selvstudie;Gruppearbejde;Forelæsninger;Projektarbejde;Øvelsestimer;4,18;3,96;4,27;3,91;4,12;4,2;3,83;3,91;4,34;3,14;3,43;3,45
Miljøvidenskab;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medicin-med-industriel-specialisering;79200;Bacheloruddannelse;Aalborg;3 år og 1 måneder;24;389;Selvstudie;Gruppearbejde;Forelæsninger;Projektarbejde;Øvelsestimer;3,85;3,8;4,14;3,83;3,91;4,04;3,86;3,8;4,3;3,06;3,23;3,43
Musik;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/miljoevidenskab;79340;Bacheloruddannelse;Aalborg;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Musikterapi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/musikvidenskab;65860;Bacheloruddannelse;Aalborg;3 år og 2 måneder;4;72;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Nanoteknologi, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/musikterapi;60300;Bacheloruddannelse;Aalborg;2 år og 10 måneder;7;27;Klasseundervisning;Projektarbejde;Selvstudie;Øvelsestimer;Forelæsninger;4,43;4,21;4,57;4,29;4,36;4,57;4,5;4,86;4,64;4,29;4,71;4,71
